sample_id,sequence,frame_number,frame_path,bbox_x1,bbox_y1,bbox_x2,bbox_y2,intended_level,analysis_severity,visible_joint_ratio_body12,detection_status,base_sequence,base_frame_number,synthetic_image_path,pipeline_status,seconds,prediction_path,error
synthetic_c2/case_02_MansoryBrickLaying_01/002/none,case_02_MansoryBrickLaying_01__none,2,<private_workspace>/m1/outputs/synthetic_occlusion/video_cases_c2/images/case_02_MansoryBrickLaying_01/none/image_00252.jpg,496.8,38.34,624.92,380.85,none,none,1.0,ok,MansoryBrickLaying_01,252,<private_workspace>/m1/outputs/synthetic_occlusion/video_cases_c2/images/case_02_MansoryBrickLaying_01/none/image_00252.jpg,ok,0.000,<private_workspace>/m1/outputs/predictions/synthetic_c2_sam3db_balanced100/synthetic_c2__case_02_MansoryBrickLaying_01__002__none.npz,
synthetic_c2/case_02_MansoryBrickLaying_01/005/partial,case_02_MansoryBrickLaying_01__partial,5,<private_workspace>/m1/outputs/synthetic_occlusion/video_cases_c2/images/case_02_MansoryBrickLaying_01/partial/image_00255.jpg,476.19,40.38,628.12,382.89,partial,none,1.0,ok,MansoryBrickLaying_01,255,<private_workspace>/m1/outputs/synthetic_occlusion/video_cases_c2/images/case_02_MansoryBrickLaying_01/partial/image_00255.jpg,ok,0.000,<private_workspace>/m1/outputs/predictions/synthetic_c2_sam3db_balanced100/synthetic_c2__case_02_MansoryBrickLaying_01__005__partial.npz,
synthetic_c2/case_02_MansoryBrickLaying_01/008/partial,case_02_MansoryBrickLaying_01__partial,8,<private_workspace>/m1/outputs/synthetic_occlusion/video_cases_c2/images/case_02_MansoryBrickLaying_01/partial/image_00258.jpg,459.23,40.52,627.45,376.68,partial,none,1.0,ok,MansoryBrickLaying_01,258,<private_workspace>/m1/outputs/synthetic_occlusion/video_cases_c2/images/case_02_MansoryBrickLaying_01/partial/image_00258.jpg,ok,0.000,<private_workspace>/m1/outputs/predictions/synthetic_c2_sam3db_balanced100/synthetic_c2__case_02_MansoryBrickLaying_01__008__partial.npz,
synthetic_c2/case_02_MansoryBrickLaying_01/011/none,case_02_MansoryBrickLaying_01__none,11,<private_workspace>/m1/outputs/synthetic_occlusion/video_cases_c2/images/case_02_MansoryBrickLaying_01/none/image_00261.jpg,458.41,38.32,623.86,378.39,none,none,1.0,ok,MansoryBrickLaying_01,261,<private_workspace>/m1/outputs/synthetic_occlusion/video_cases_c2/images/case_02_MansoryBrickLaying_01/none/image_00261.jpg,ok,0.000,<private_workspace>/m1/outputs/predictions/synthetic_c2_sam3db_balanced100/synthetic_c2__case_02_MansoryBrickLaying_01__011__none.npz,
synthetic_c2/case_02_MansoryBrickLaying_01/014/none,case_02_MansoryBrickLaying_01__none,14,<private_workspace>/m1/outputs/synthetic_occlusion/video_cases_c2/images/case_02_MansoryBrickLaying_01/none/image_00264.jpg,458.28,37.76,615.4,379.87,none,none,1.0,ok,MansoryBrickLaying_01,264,<private_workspace>/m1/outputs/synthetic_occlusion/video_cases_c2/images/case_02_MansoryBrickLaying_01/none/image_00264.jpg,ok,0.000,<private_workspace>/m1/outputs/predictions/synthetic_c2_sam3db_balanced100/synthetic_c2__case_02_MansoryBrickLaying_01__014__none.npz,
synthetic_c2/case_02_MansoryBrickLaying_01/018/none,case_02_MansoryBrickLaying_01__none,18,<private_workspace>/m1/outputs/synthetic_occlusion/video_cases_c2/images/case_02_MansoryBrickLaying_01/none/image_00268.jpg,447.8,37.84,603.7,381.97,none,none,1.0,ok,MansoryBrickLaying_01,268,<private_workspace>/m1/outputs/synthetic_occlusion/video_cases_c2/images/case_02_MansoryBrickLaying_01/none/image_00268.jpg,ok,0.000,<private_workspace>/m1/outputs/predictions/synthetic_c2_sam3db_balanced100/synthetic_c2__case_02_MansoryBrickLaying_01__018__none.npz,
synthetic_c2/case_02_MansoryBrickLaying_01/021/none,case_02_MansoryBrickLaying_01__none,21,<private_workspace>/m1/outputs/synthetic_occlusion/video_cases_c2/images/case_02_MansoryBrickLaying_01/none/image_00271.jpg,441.9,38.54,601.47,381.54,none,none,1.0,ok,MansoryBrickLaying_01,271,<private_workspace>/m1/outputs/synthetic_occlusion/video_cases_c2/images/case_02_MansoryBrickLaying_01/none/image_00271.jpg,ok,0.000,<private_workspace>/m1/outputs/predictions/synthetic_c2_sam3db_balanced100/synthetic_c2__case_02_MansoryBrickLaying_01__021__none.npz,
synthetic_c2/case_02_MansoryBrickLaying_01/024/none,case_02_MansoryBrickLaying_01__none,24,<private_workspace>/m1/outputs/synthetic_occlusion/video_cases_c2/images/case_02_MansoryBrickLaying_01/none/image_00274.jpg,428.65,43.65,598.08,380.9,none,none,1.0,ok,MansoryBrickLaying_01,274,<private_workspace>/m1/outputs/synthetic_occlusion/video_cases_c2/images/case_02_MansoryBrickLaying_01/none/image_00274.jpg,ok,0.000,<private_workspace>/m1/outputs/predictions/synthetic_c2_sam3db_balanced100/synthetic_c2__case_02_MansoryBrickLaying_01__024__none.npz,
synthetic_c2/case_02_MansoryBrickLaying_01/028/none,case_02_MansoryBrickLaying_01__none,28,<private_workspace>/m1/outputs/synthetic_occlusion/video_cases_c2/images/case_02_MansoryBrickLaying_01/none/image_00278.jpg,418.68,50.2,584.44,378.56,none,none,1.0,ok,MansoryBrickLaying_01,278,<private_workspace>/m1/outputs/synthetic_occlusion/video_cases_c2/images/case_02_MansoryBrickLaying_01/none/image_00278.jpg,ok,0.000,<private_workspace>/m1/outputs/predictions/synthetic_c2_sam3db_balanced100/synthetic_c2__case_02_MansoryBrickLaying_01__028__none.npz,
synthetic_c2/case_02_MansoryBrickLaying_01/033/none,case_02_MansoryBrickLaying_01__none,33,<private_workspace>/m1/outputs/synthetic_occlusion/video_cases_c2/images/case_02_MansoryBrickLaying_01/none/image_00283.jpg,405.65,65.48,586.86,376.31,none,none,1.0,ok,MansoryBrickLaying_01,283,<private_workspace>/m1/outputs/synthetic_occlusion/video_cases_c2/images/case_02_MansoryBrickLaying_01/none/image_00283.jpg,ok,0.000,<private_workspace>/m1/outputs/predictions/synthetic_c2_sam3db_balanced100/synthetic_c2__case_02_MansoryBrickLaying_01__033__none.npz,
synthetic_c2/case_02_MansoryBrickLaying_01/038/none,case_02_MansoryBrickLaying_01__none,38,<private_workspace>/m1/outputs/synthetic_occlusion/video_cases_c2/images/case_02_MansoryBrickLaying_01/none/image_00288.jpg,398.15,89.71,587.37,375.44,none,none,1.0,ok,MansoryBrickLaying_01,288,<private_workspace>/m1/outputs/synthetic_occlusion/video_cases_c2/images/case_02_MansoryBrickLaying_01/none/image_00288.jpg,ok,0.000,<private_workspace>/m1/outputs/predictions/synthetic_c2_sam3db_balanced100/synthetic_c2__case_02_MansoryBrickLaying_01__038__none.npz,
synthetic_c2/case_02_MansoryBrickLaying_01/043/none,case_02_MansoryBrickLaying_01__none,43,<private_workspace>/m1/outputs/synthetic_occlusion/video_cases_c2/images/case_02_MansoryBrickLaying_01/none/image_00293.jpg,402.73,110.97,589.44,375.86,none,none,1.0,ok,MansoryBrickLaying_01,293,<private_workspace>/m1/outputs/synthetic_occlusion/video_cases_c2/images/case_02_MansoryBrickLaying_01/none/image_00293.jpg,ok,0.000,<private_workspace>/m1/outputs/predictions/synthetic_c2_sam3db_balanced100/synthetic_c2__case_02_MansoryBrickLaying_01__043__none.npz,
synthetic_c2/case_03_MansoryBrickLaying_02/001/partial,case_03_MansoryBrickLaying_02__partial,1,<private_workspace>/m1/outputs/synthetic_occlusion/video_cases_c2/images/case_03_MansoryBrickLaying_02/partial/image_00090.jpg,517.49,57.11,637.47,382.33,partial,none,1.0,ok,MansoryBrickLaying_02,90,<private_workspace>/m1/outputs/synthetic_occlusion/video_cases_c2/images/case_03_MansoryBrickLaying_02/partial/image_00090.jpg,ok,0.000,<private_workspace>/m1/outputs/predictions/synthetic_c2_sam3db_balanced100/synthetic_c2__case_03_MansoryBrickLaying_02__001__partial.npz,
synthetic_c2/case_03_MansoryBrickLaying_02/004/none,case_03_MansoryBrickLaying_02__none,4,<private_workspace>/m1/outputs/synthetic_occlusion/video_cases_c2/images/case_03_MansoryBrickLaying_02/none/image_00093.jpg,515.8,56.38,639.48,381.86,none,none,1.0,ok,MansoryBrickLaying_02,93,<private_workspace>/m1/outputs/synthetic_occlusion/video_cases_c2/images/case_03_MansoryBrickLaying_02/none/image_00093.jpg,ok,0.000,<private_workspace>/m1/outputs/predictions/synthetic_c2_sam3db_balanced100/synthetic_c2__case_03_MansoryBrickLaying_02__004__none.npz,
synthetic_c2/case_03_MansoryBrickLaying_02/007/none,case_03_MansoryBrickLaying_02__none,7,<private_workspace>/m1/outputs/synthetic_occlusion/video_cases_c2/images/case_03_MansoryBrickLaying_02/none/image_00096.jpg,512.71,57.13,645.29,383.85,none,none,1.0,ok,MansoryBrickLaying_02,96,<private_workspace>/m1/outputs/synthetic_occlusion/video_cases_c2/images/case_03_MansoryBrickLaying_02/none/image_00096.jpg,ok,0.012,<private_workspace>/m1/outputs/predictions/synthetic_c2_sam3db_balanced100/synthetic_c2__case_03_MansoryBrickLaying_02__007__none.npz,
synthetic_c2/case_03_MansoryBrickLaying_02/010/none,case_03_MansoryBrickLaying_02__none,10,<private_workspace>/m1/outputs/synthetic_occlusion/video_cases_c2/images/case_03_MansoryBrickLaying_02/none/image_00099.jpg,510.76,55.27,646.06,383.15,none,none,1.0,ok,MansoryBrickLaying_02,99,<private_workspace>/m1/outputs/synthetic_occlusion/video_cases_c2/images/case_03_MansoryBrickLaying_02/none/image_00099.jpg,ok,0.000,<private_workspace>/m1/outputs/predictions/synthetic_c2_sam3db_balanced100/synthetic_c2__case_03_MansoryBrickLaying_02__010__none.npz,
synthetic_c2/case_03_MansoryBrickLaying_02/013/none,case_03_MansoryBrickLaying_02__none,13,<private_workspace>/m1/outputs/synthetic_occlusion/video_cases_c2/images/case_03_MansoryBrickLaying_02/none/image_00102.jpg,506.42,53.59,645.71,381.65,none,none,1.0,ok,MansoryBrickLaying_02,102,<private_workspace>/m1/outputs/synthetic_occlusion/video_cases_c2/images/case_03_MansoryBrickLaying_02/none/image_00102.jpg,ok,0.000,<private_workspace>/m1/outputs/predictions/synthetic_c2_sam3db_balanced100/synthetic_c2__case_03_MansoryBrickLaying_02__013__none.npz,
synthetic_c2/case_03_MansoryBrickLaying_02/016/none,case_03_MansoryBrickLaying_02__none,16,<private_workspace>/m1/outputs/synthetic_occlusion/video_cases_c2/images/case_03_MansoryBrickLaying_02/none/image_00105.jpg,502.09,53.62,636.36,379.78,none,none,1.0,ok,MansoryBrickLaying_02,105,<private_workspace>/m1/outputs/synthetic_occlusion/video_cases_c2/images/case_03_MansoryBrickLaying_02/none/image_00105.jpg,ok,0.000,<private_workspace>/m1/outputs/predictions/synthetic_c2_sam3db_balanced100/synthetic_c2__case_03_MansoryBrickLaying_02__016__none.npz,
synthetic_c2/case_03_MansoryBrickLaying_02/018/partial,case_03_MansoryBrickLaying_02__partial,18,<private_workspace>/m1/outputs/synthetic_occlusion/video_cases_c2/images/case_03_MansoryBrickLaying_02/partial/image_00107.jpg,498.97,53.86,642.64,381.71,partial,none,0.917,ok,MansoryBrickLaying_02,107,<private_workspace>/m1/outputs/synthetic_occlusion/video_cases_c2/images/case_03_MansoryBrickLaying_02/partial/image_00107.jpg,ok,0.000,<private_workspace>/m1/outputs/predictions/synthetic_c2_sam3db_balanced100/synthetic_c2__case_03_MansoryBrickLaying_02__018__partial.npz,
synthetic_c2/case_03_MansoryBrickLaying_02/021/none,case_03_MansoryBrickLaying_02__none,21,<private_workspace>/m1/outputs/synthetic_occlusion/video_cases_c2/images/case_03_MansoryBrickLaying_02/none/image_00110.jpg,495.99,57.03,642.66,383.98,none,none,1.0,ok,MansoryBrickLaying_02,110,<private_workspace>/m1/outputs/synthetic_occlusion/video_cases_c2/images/case_03_MansoryBrickLaying_02/none/image_00110.jpg,ok,0.000,<private_workspace>/m1/outputs/predictions/synthetic_c2_sam3db_balanced100/synthetic_c2__case_03_MansoryBrickLaying_02__021__none.npz,
synthetic_c2/case_03_MansoryBrickLaying_02/023/none,case_03_MansoryBrickLaying_02__none,23,<private_workspace>/m1/outputs/synthetic_occlusion/video_cases_c2/images/case_03_MansoryBrickLaying_02/none/image_00112.jpg,493.22,57.31,636.78,382.96,none,none,1.0,ok,MansoryBrickLaying_02,112,<private_workspace>/m1/outputs/synthetic_occlusion/video_cases_c2/images/case_03_MansoryBrickLaying_02/none/image_00112.jpg,ok,0.000,<private_workspace>/m1/outputs/predictions/synthetic_c2_sam3db_balanced100/synthetic_c2__case_03_MansoryBrickLaying_02__023__none.npz,
synthetic_c2/case_03_MansoryBrickLaying_02/025/partial,case_03_MansoryBrickLaying_02__partial,25,<private_workspace>/m1/outputs/synthetic_occlusion/video_cases_c2/images/case_03_MansoryBrickLaying_02/partial/image_00114.jpg,490.96,55.88,636.97,383.91,partial,none,0.917,ok,MansoryBrickLaying_02,114,<private_workspace>/m1/outputs/synthetic_occlusion/video_cases_c2/images/case_03_MansoryBrickLaying_02/partial/image_00114.jpg,ok,0.012,<private_workspace>/m1/outputs/predictions/synthetic_c2_sam3db_balanced100/synthetic_c2__case_03_MansoryBrickLaying_02__025__partial.npz,
synthetic_c2/case_03_MansoryBrickLaying_02/029/none,case_03_MansoryBrickLaying_02__none,29,<private_workspace>/m1/outputs/synthetic_occlusion/video_cases_c2/images/case_03_MansoryBrickLaying_02/none/image_00118.jpg,487.12,55.93,623.08,378.32,none,none,1.0,ok,MansoryBrickLaying_02,118,<private_workspace>/m1/outputs/synthetic_occlusion/video_cases_c2/images/case_03_MansoryBrickLaying_02/none/image_00118.jpg,ok,0.000,<private_workspace>/m1/outputs/predictions/synthetic_c2_sam3db_balanced100/synthetic_c2__case_03_MansoryBrickLaying_02__029__none.npz,
synthetic_c2/case_03_MansoryBrickLaying_02/033/none,case_03_MansoryBrickLaying_02__none,33,<private_workspace>/m1/outputs/synthetic_occlusion/video_cases_c2/images/case_03_MansoryBrickLaying_02/none/image_00122.jpg,486.17,54.42,619.6,377.34,none,none,1.0,ok,MansoryBrickLaying_02,122,<private_workspace>/m1/outputs/synthetic_occlusion/video_cases_c2/images/case_03_MansoryBrickLaying_02/none/image_00122.jpg,ok,0.000,<private_workspace>/m1/outputs/predictions/synthetic_c2_sam3db_balanced100/synthetic_c2__case_03_MansoryBrickLaying_02__033__none.npz,
synthetic_c2/case_03_MansoryBrickLaying_02/038/none,case_03_MansoryBrickLaying_02__none,38,<private_workspace>/m1/outputs/synthetic_occlusion/video_cases_c2/images/case_03_MansoryBrickLaying_02/none/image_00127.jpg,488.03,53.53,617.62,375.31,none,none,1.0,ok,MansoryBrickLaying_02,127,<private_workspace>/m1/outputs/synthetic_occlusion/video_cases_c2/images/case_03_MansoryBrickLaying_02/none/image_00127.jpg,ok,0.000,<private_workspace>/m1/outputs/predictions/synthetic_c2_sam3db_balanced100/synthetic_c2__case_03_MansoryBrickLaying_02__038__none.npz,
synthetic_c2/case_03_MansoryBrickLaying_02/043/none,case_03_MansoryBrickLaying_02__none,43,<private_workspace>/m1/outputs/synthetic_occlusion/video_cases_c2/images/case_03_MansoryBrickLaying_02/none/image_00132.jpg,488.2,55.38,615.36,377.5,none,none,1.0,ok,MansoryBrickLaying_02,132,<private_workspace>/m1/outputs/synthetic_occlusion/video_cases_c2/images/case_03_MansoryBrickLaying_02/none/image_00132.jpg,ok,0.000,<private_workspace>/m1/outputs/predictions/synthetic_c2_sam3db_balanced100/synthetic_c2__case_03_MansoryBrickLaying_02__043__none.npz,
synthetic_c2/case_04_MansoryCement_02/003/none,case_04_MansoryCement_02__none,3,<private_workspace>/m1/outputs/synthetic_occlusion/video_cases_c2/images/case_04_MansoryCement_02/none/image_04651.jpg,529.85,271.84,648.65,565.39,none,none,1.0,ok,MansoryCement_02,4651,<private_workspace>/m1/outputs/synthetic_occlusion/video_cases_c2/images/case_04_MansoryCement_02/none/image_04651.jpg,ok,0.000,<private_workspace>/m1/outputs/predictions/synthetic_c2_sam3db_balanced100/synthetic_c2__case_04_MansoryCement_02__003__none.npz,
synthetic_c2/case_04_MansoryCement_02/008/none,case_04_MansoryCement_02__none,8,<private_workspace>/m1/outputs/synthetic_occlusion/video_cases_c2/images/case_04_MansoryCement_02/none/image_04656.jpg,527.91,273.48,652.95,562.01,none,none,1.0,ok,MansoryCement_02,4656,<private_workspace>/m1/outputs/synthetic_occlusion/video_cases_c2/images/case_04_MansoryCement_02/none/image_04656.jpg,ok,0.000,<private_workspace>/m1/outputs/predictions/synthetic_c2_sam3db_balanced100/synthetic_c2__case_04_MansoryCement_02__008__none.npz,
synthetic_c2/case_04_MansoryCement_02/013/none,case_04_MansoryCement_02__none,13,<private_workspace>/m1/outputs/synthetic_occlusion/video_cases_c2/images/case_04_MansoryCement_02/none/image_04661.jpg,527.17,274.68,653.47,567.33,none,none,1.0,ok,MansoryCement_02,4661,<private_workspace>/m1/outputs/synthetic_occlusion/video_cases_c2/images/case_04_MansoryCement_02/none/image_04661.jpg,ok,0.000,<private_workspace>/m1/outputs/predictions/synthetic_c2_sam3db_balanced100/synthetic_c2__case_04_MansoryCement_02__013__none.npz,
synthetic_c2/case_04_MansoryCement_02/018/none,case_04_MansoryCement_02__none,18,<private_workspace>/m1/outputs/synthetic_occlusion/video_cases_c2/images/case_04_MansoryCement_02/none/image_04666.jpg,527.15,274.77,654.06,566.61,none,none,1.0,ok,MansoryCement_02,4666,<private_workspace>/m1/outputs/synthetic_occlusion/video_cases_c2/images/case_04_MansoryCement_02/none/image_04666.jpg,ok,0.000,<private_workspace>/m1/outputs/predictions/synthetic_c2_sam3db_balanced100/synthetic_c2__case_04_MansoryCement_02__018__none.npz,
synthetic_c2/case_04_MansoryCement_02/023/none,case_04_MansoryCement_02__none,23,<private_workspace>/m1/outputs/synthetic_occlusion/video_cases_c2/images/case_04_MansoryCement_02/none/image_04671.jpg,526.82,273.67,655.43,564.33,none,none,1.0,ok,MansoryCement_02,4671,<private_workspace>/m1/outputs/synthetic_occlusion/video_cases_c2/images/case_04_MansoryCement_02/none/image_04671.jpg,ok,0.000,<private_workspace>/m1/outputs/predictions/synthetic_c2_sam3db_balanced100/synthetic_c2__case_04_MansoryCement_02__023__none.npz,
synthetic_c2/case_04_MansoryCement_02/028/none,case_04_MansoryCement_02__none,28,<private_workspace>/m1/outputs/synthetic_occlusion/video_cases_c2/images/case_04_MansoryCement_02/none/image_04676.jpg,526.85,273.86,654.94,565.72,none,none,1.0,ok,MansoryCement_02,4676,<private_workspace>/m1/outputs/synthetic_occlusion/video_cases_c2/images/case_04_MansoryCement_02/none/image_04676.jpg,ok,0.000,<private_workspace>/m1/outputs/predictions/synthetic_c2_sam3db_balanced100/synthetic_c2__case_04_MansoryCement_02__028__none.npz,
synthetic_c2/case_04_MansoryCement_02/033/none,case_04_MansoryCement_02__none,33,<private_workspace>/m1/outputs/synthetic_occlusion/video_cases_c2/images/case_04_MansoryCement_02/none/image_04681.jpg,526.18,274.27,656.02,565.58,none,none,1.0,ok,MansoryCement_02,4681,<private_workspace>/m1/outputs/synthetic_occlusion/video_cases_c2/images/case_04_MansoryCement_02/none/image_04681.jpg,ok,0.000,<private_workspace>/m1/outputs/predictions/synthetic_c2_sam3db_balanced100/synthetic_c2__case_04_MansoryCement_02__033__none.npz,
synthetic_c2/case_04_MansoryCement_02/038/none,case_04_MansoryCement_02__none,38,<private_workspace>/m1/outputs/synthetic_occlusion/video_cases_c2/images/case_04_MansoryCement_02/none/image_04686.jpg,526.36,273.86,655.0,564.1,none,none,1.0,ok,MansoryCement_02,4686,<private_workspace>/m1/outputs/synthetic_occlusion/video_cases_c2/images/case_04_MansoryCement_02/none/image_04686.jpg,ok,0.000,<private_workspace>/m1/outputs/predictions/synthetic_c2_sam3db_balanced100/synthetic_c2__case_04_MansoryCement_02__038__none.npz,
synthetic_c2/case_04_MansoryCement_02/043/none,case_04_MansoryCement_02__none,43,<private_workspace>/m1/outputs/synthetic_occlusion/video_cases_c2/images/case_04_MansoryCement_02/none/image_04691.jpg,525.52,274.07,654.31,565.07,none,none,1.0,ok,MansoryCement_02,4691,<private_workspace>/m1/outputs/synthetic_occlusion/video_cases_c2/images/case_04_MansoryCement_02/none/image_04691.jpg,ok,23.195,<private_workspace>/m1/outputs/predictions/synthetic_c2_sam3db_balanced100/synthetic_c2__case_04_MansoryCement_02__043__none.npz,
synthetic_c2/case_05_RebarPlacement_00/001/partial,case_05_RebarPlacement_00__partial,1,<private_workspace>/m1/outputs/synthetic_occlusion/video_cases_c2/images/case_05_RebarPlacement_00/partial/image_01909.jpg,531.46,114.83,742.16,583.43,partial,none,0.917,ok,RebarPlacement_00,1909,<private_workspace>/m1/outputs/synthetic_occlusion/video_cases_c2/images/case_05_RebarPlacement_00/partial/image_01909.jpg,ok,24.369,<private_workspace>/m1/outputs/predictions/synthetic_c2_sam3db_balanced100/synthetic_c2__case_05_RebarPlacement_00__001__partial.npz,
synthetic_c2/case_05_RebarPlacement_00/005/none,case_05_RebarPlacement_00__none,5,<private_workspace>/m1/outputs/synthetic_occlusion/video_cases_c2/images/case_05_RebarPlacement_00/none/image_01913.jpg,529.24,103.96,763.5,601.16,none,none,1.0,ok,RebarPlacement_00,1913,<private_workspace>/m1/outputs/synthetic_occlusion/video_cases_c2/images/case_05_RebarPlacement_00/none/image_01913.jpg,ok,25.752,<private_workspace>/m1/outputs/predictions/synthetic_c2_sam3db_balanced100/synthetic_c2__case_05_RebarPlacement_00__005__none.npz,
