condition_pair,criterion,n_comparisons,mean_left_minus_right_strength,std_left_minus_right_strength,preferred_left_count,preferred_right_count,tie_count,left_condition,right_condition
module2_only__neutral_vs_module2_rgb__neutral,evidence_grounding,40,0.1,1.0077,22,18,0,module2_only__neutral,module2_rgb__neutral
module2_only__neutral_vs_module2_rgb__neutral,overall,40,0.25,0.9806,25,15,0,module2_only__neutral,module2_rgb__neutral
module2_only__neutral_vs_module2_rgb__neutral,professionalism,40,-0.075,0.859,13,16,11,module2_only__neutral,module2_rgb__neutral
module2_only__neutral_vs_module2_rgb__neutral,relevance,40,-0.275,0.8767,11,22,7,module2_only__neutral,module2_rgb__neutral
module2_only__neutral_vs_module2_rgb__neutral,usefulness,40,0.25,0.9806,25,15,0,module2_only__neutral,module2_rgb__neutral
module2_only__original_rgb_compatible_vs_module2_only__bounded_context_augmented,clarity,40,0.125,0.3349,5,0,35,module2_only__original_rgb_compatible,module2_only__bounded_context_augmented
module2_only__original_rgb_compatible_vs_module2_only__bounded_context_augmented,coherence,40,0.625,0.4903,25,0,15,module2_only__original_rgb_compatible,module2_only__bounded_context_augmented
module2_only__original_rgb_compatible_vs_module2_only__bounded_context_augmented,evidence_grounding,40,0.125,0.8224,16,11,13,module2_only__original_rgb_compatible,module2_only__bounded_context_augmented
module2_only__original_rgb_compatible_vs_module2_only__bounded_context_augmented,overall,40,0.575,0.5943,25,2,13,module2_only__original_rgb_compatible,module2_only__bounded_context_augmented
module2_only__original_rgb_compatible_vs_module2_only__bounded_context_augmented,professionalism,40,0.125,0.3349,5,0,35,module2_only__original_rgb_compatible,module2_only__bounded_context_augmented
module2_only__original_rgb_compatible_vs_module2_only__bounded_context_augmented,relevance,40,-0.2,0.6869,6,14,20,module2_only__original_rgb_compatible,module2_only__bounded_context_augmented
module2_only__original_rgb_compatible_vs_module2_only__bounded_context_augmented,usefulness,40,0.325,0.7299,19,6,15,module2_only__original_rgb_compatible,module2_only__bounded_context_augmented
module2_only__original_rgb_compatible_vs_module2_rgb__original_rgb_compatible,clarity,40,0.05,0.2207,2,0,38,module2_only__original_rgb_compatible,module2_rgb__original_rgb_compatible
module2_only__original_rgb_compatible_vs_module2_rgb__original_rgb_compatible,coherence,40,0.575,0.5495,24,1,15,module2_only__original_rgb_compatible,module2_rgb__original_rgb_compatible
module2_only__original_rgb_compatible_vs_module2_rgb__original_rgb_compatible,evidence_grounding,40,0.2,0.8228,18,10,12,module2_only__original_rgb_compatible,module2_rgb__original_rgb_compatible
module2_only__original_rgb_compatible_vs_module2_rgb__original_rgb_compatible,overall,40,0.375,0.7742,22,7,11,module2_only__original_rgb_compatible,module2_rgb__original_rgb_compatible
module2_only__original_rgb_compatible_vs_module2_rgb__original_rgb_compatible,professionalism,40,0.075,0.2667,3,0,37,module2_only__original_rgb_compatible,module2_rgb__original_rgb_compatible
module2_only__original_rgb_compatible_vs_module2_rgb__original_rgb_compatible,relevance,40,-0.5,0.5991,2,22,16,module2_only__original_rgb_compatible,module2_rgb__original_rgb_compatible
module2_only__original_rgb_compatible_vs_module2_rgb__original_rgb_compatible,usefulness,40,0.425,0.6751,21,4,15,module2_only__original_rgb_compatible,module2_rgb__original_rgb_compatible
module2_rgb__neutral_vs_module2_rgb__original_rgb_compatible,clarity,40,-0.9,0.4414,2,38,0,module2_rgb__neutral,module2_rgb__original_rgb_compatible
module2_rgb__neutral_vs_module2_rgb__original_rgb_compatible,coherence,40,-1.0,0.0,0,40,0,module2_rgb__neutral,module2_rgb__original_rgb_compatible
module2_rgb__neutral_vs_module2_rgb__original_rgb_compatible,evidence_grounding,40,0.35,0.9487,27,13,0,module2_rgb__neutral,module2_rgb__original_rgb_compatible
module2_rgb__neutral_vs_module2_rgb__original_rgb_compatible,overall,40,-1.075,0.2667,0,40,0,module2_rgb__neutral,module2_rgb__original_rgb_compatible
module2_rgb__neutral_vs_module2_rgb__original_rgb_compatible,professionalism,40,-0.9,0.4414,2,38,0,module2_rgb__neutral,module2_rgb__original_rgb_compatible
module2_rgb__neutral_vs_module2_rgb__original_rgb_compatible,relevance,40,-1.0,0.0,0,40,0,module2_rgb__neutral,module2_rgb__original_rgb_compatible
module2_rgb__neutral_vs_module2_rgb__original_rgb_compatible,usefulness,40,-1.15,0.3616,0,40,0,module2_rgb__neutral,module2_rgb__original_rgb_compatible
module2_rgb__original_rgb_compatible_vs_module2_rgb__bounded_context_augmented,clarity,40,0.125,0.3349,5,0,35,module2_rgb__original_rgb_compatible,module2_rgb__bounded_context_augmented
module2_rgb__original_rgb_compatible_vs_module2_rgb__bounded_context_augmented,coherence,40,1.0,0.0,40,0,0,module2_rgb__original_rgb_compatible,module2_rgb__bounded_context_augmented
module2_rgb__original_rgb_compatible_vs_module2_rgb__bounded_context_augmented,evidence_grounding,40,-0.2,0.9923,16,24,0,module2_rgb__original_rgb_compatible,module2_rgb__bounded_context_augmented
module2_rgb__original_rgb_compatible_vs_module2_rgb__bounded_context_augmented,overall,40,0.7,0.7232,34,6,0,module2_rgb__original_rgb_compatible,module2_rgb__bounded_context_augmented
module2_rgb__original_rgb_compatible_vs_module2_rgb__bounded_context_augmented,professionalism,40,0.225,0.4229,9,0,31,module2_rgb__original_rgb_compatible,module2_rgb__bounded_context_augmented
module2_rgb__original_rgb_compatible_vs_module2_rgb__bounded_context_augmented,relevance,40,-0.575,0.7808,7,30,3,module2_rgb__original_rgb_compatible,module2_rgb__bounded_context_augmented
module2_rgb__original_rgb_compatible_vs_module2_rgb__bounded_context_augmented,usefulness,40,0.5,0.8771,30,10,0,module2_rgb__original_rgb_compatible,module2_rgb__bounded_context_augmented
