comparison,case_id,run_index,key_factor_positive_jaccard,source_yes,full_yes
rgb_only_vs_full_module2,case_06,3,0.0,,knee_overflexion|neck_overflexion_or_extension|prolonged_static_posture|repetitive_work|trunk_overflexion|upper_arm_elevation|wrist_deviation
rgb_only_vs_full_module2,case_06,4,0.0,,knee_overflexion|neck_overflexion_or_extension|prolonged_static_posture|repetitive_work|trunk_overflexion|upper_arm_elevation|wrist_deviation
rgb_only_vs_full_module2,case_06,5,0.0,,neck_overflexion_or_extension|prolonged_static_posture|repetitive_work|trunk_overflexion|upper_arm_elevation|wrist_deviation
rgb_only_vs_full_module2,case_07,1,0.0,,neck_overflexion_or_extension|prolonged_static_posture|repetitive_work|trunk_overflexion|upper_arm_elevation|wrist_deviation
rgb_only_vs_full_module2,case_07,2,0.0,,neck_overflexion_or_extension|prolonged_static_posture|repetitive_work|trunk_overflexion|upper_arm_elevation|wrist_deviation
rgb_only_vs_full_module2,case_07,3,0.0,,neck_overflexion_or_extension|prolonged_static_posture|repetitive_work|trunk_overflexion|upper_arm_elevation|wrist_deviation
rgb_only_vs_full_module2,case_07,4,0.0,,neck_overflexion_or_extension|prolonged_static_posture|repetitive_work|trunk_overflexion|upper_arm_elevation|wrist_deviation
rgb_only_vs_full_module2,case_07,5,0.0,,neck_overflexion_or_extension|prolonged_static_posture|repetitive_work|trunk_overflexion|upper_arm_elevation|wrist_deviation
rgb_only_vs_full_module2,case_08,1,0.0,,knee_overflexion|neck_overflexion_or_extension|prolonged_static_posture|repetitive_work|trunk_overflexion|upper_arm_elevation|wrist_deviation
rgb_only_vs_full_module2,case_08,2,0.0,,knee_overflexion|neck_overflexion_or_extension|prolonged_static_posture|repetitive_work|trunk_overflexion|upper_arm_elevation|wrist_deviation
rgb_only_vs_full_module2,case_08,3,0.0,,knee_overflexion|neck_overflexion_or_extension|prolonged_static_posture|repetitive_work|trunk_overflexion|upper_arm_elevation|wrist_deviation
rgb_only_vs_full_module2,case_08,4,0.0,,knee_overflexion|neck_overflexion_or_extension|prolonged_static_posture|repetitive_work|trunk_overflexion|upper_arm_elevation|wrist_deviation
rgb_only_vs_full_module2,case_08,5,0.0,,knee_overflexion|neck_overflexion_or_extension|prolonged_static_posture|repetitive_work|trunk_overflexion|upper_arm_elevation|wrist_deviation
reba_only_vs_full_module2,case_01,1,0.0,,knee_overflexion|neck_overflexion_or_extension|repetitive_work|trunk_overflexion|upper_arm_elevation|wrist_deviation
reba_only_vs_full_module2,case_01,2,0.6667,neck_overflexion_or_extension|trunk_overflexion|upper_arm_elevation|wrist_deviation,knee_overflexion|neck_overflexion_or_extension|repetitive_work|trunk_overflexion|upper_arm_elevation|wrist_deviation
reba_only_vs_full_module2,case_01,3,0.0,,knee_overflexion|neck_overflexion_or_extension|repetitive_work|trunk_overflexion|upper_arm_elevation|wrist_deviation
reba_only_vs_full_module2,case_01,4,0.0,,knee_overflexion|neck_overflexion_or_extension|repetitive_work|trunk_overflexion|upper_arm_elevation|wrist_deviation
reba_only_vs_full_module2,case_01,5,0.0,,knee_overflexion|neck_overflexion_or_extension|repetitive_work|trunk_overflexion|upper_arm_elevation|wrist_deviation
reba_only_vs_full_module2,case_02,1,0.0,,knee_overflexion|neck_overflexion_or_extension|prolonged_static_posture|repetitive_work|trunk_overflexion|upper_arm_elevation|wrist_deviation
reba_only_vs_full_module2,case_02,2,0.0,,knee_overflexion|neck_overflexion_or_extension|prolonged_static_posture|repetitive_work|trunk_overflexion|upper_arm_elevation|wrist_deviation
reba_only_vs_full_module2,case_02,3,0.0,,knee_overflexion|neck_overflexion_or_extension|prolonged_static_posture|repetitive_work|trunk_overflexion|upper_arm_elevation|wrist_deviation
reba_only_vs_full_module2,case_02,4,0.4286,neck_overflexion_or_extension|trunk_overflexion|upper_arm_elevation,knee_overflexion|neck_overflexion_or_extension|prolonged_static_posture|repetitive_work|trunk_overflexion|upper_arm_elevation|wrist_deviation
reba_only_vs_full_module2,case_02,5,0.4286,neck_overflexion_or_extension|trunk_overflexion|upper_arm_elevation,knee_overflexion|neck_overflexion_or_extension|prolonged_static_posture|repetitive_work|trunk_overflexion|upper_arm_elevation|wrist_deviation
reba_only_vs_full_module2,case_03,1,0.0,,knee_overflexion|repetitive_work
reba_only_vs_full_module2,case_03,2,0.0,,knee_overflexion|repetitive_work
reba_only_vs_full_module2,case_03,3,0.0,,knee_overflexion|neck_overflexion_or_extension|repetitive_work|trunk_overflexion|upper_arm_elevation|wrist_deviation
reba_only_vs_full_module2,case_03,4,0.0,,knee_overflexion|neck_overflexion_or_extension|repetitive_work|upper_arm_elevation|wrist_deviation
reba_only_vs_full_module2,case_03,5,0.0,,knee_overflexion|repetitive_work
reba_only_vs_full_module2,case_04,1,0.0,,knee_overflexion|neck_overflexion_or_extension|prolonged_static_posture|repetitive_work|trunk_overflexion|upper_arm_elevation|wrist_deviation
reba_only_vs_full_module2,case_04,2,0.0,,knee_overflexion|neck_overflexion_or_extension|prolonged_static_posture|repetitive_work|trunk_overflexion|upper_arm_elevation|wrist_deviation
reba_only_vs_full_module2,case_04,3,0.0,,knee_overflexion|neck_overflexion_or_extension|prolonged_static_posture|repetitive_work|trunk_overflexion|upper_arm_elevation|wrist_deviation
reba_only_vs_full_module2,case_04,4,0.0,,knee_overflexion|neck_overflexion_or_extension|prolonged_static_posture|repetitive_work|trunk_overflexion|upper_arm_elevation|wrist_deviation
reba_only_vs_full_module2,case_04,5,0.0,,knee_overflexion|neck_overflexion_or_extension|repetitive_work|trunk_overflexion|upper_arm_elevation|wrist_deviation
reba_only_vs_full_module2,case_05,1,0.5714,neck_overflexion_or_extension|trunk_overflexion|upper_arm_elevation|wrist_deviation,knee_overflexion|neck_overflexion_or_extension|prolonged_static_posture|repetitive_work|trunk_overflexion|upper_arm_elevation|wrist_deviation
reba_only_vs_full_module2,case_05,2,0.7143,knee_overflexion|neck_overflexion_or_extension|trunk_overflexion|upper_arm_elevation|wrist_deviation,knee_overflexion|neck_overflexion_or_extension|prolonged_static_posture|repetitive_work|trunk_overflexion|upper_arm_elevation|wrist_deviation
reba_only_vs_full_module2,case_05,3,0.7143,knee_overflexion|neck_overflexion_or_extension|trunk_overflexion|upper_arm_elevation|wrist_deviation,knee_overflexion|neck_overflexion_or_extension|prolonged_static_posture|repetitive_work|trunk_overflexion|upper_arm_elevation|wrist_deviation
reba_only_vs_full_module2,case_05,4,0.7143,knee_overflexion|neck_overflexion_or_extension|trunk_overflexion|upper_arm_elevation|wrist_deviation,knee_overflexion|neck_overflexion_or_extension|prolonged_static_posture|repetitive_work|trunk_overflexion|upper_arm_elevation|wrist_deviation
reba_only_vs_full_module2,case_05,5,0.0,,knee_overflexion|neck_overflexion_or_extension|prolonged_static_posture|repetitive_work|trunk_overflexion|upper_arm_elevation|wrist_deviation
reba_only_vs_full_module2,case_06,1,0.5714,neck_overflexion_or_extension|trunk_overflexion|upper_arm_elevation|wrist_deviation,knee_overflexion|neck_overflexion_or_extension|prolonged_static_posture|repetitive_work|trunk_overflexion|upper_arm_elevation|wrist_deviation
reba_only_vs_full_module2,case_06,2,0.7143,knee_overflexion|neck_overflexion_or_extension|trunk_overflexion|upper_arm_elevation|wrist_deviation,knee_overflexion|neck_overflexion_or_extension|prolonged_static_posture|repetitive_work|trunk_overflexion|upper_arm_elevation|wrist_deviation
reba_only_vs_full_module2,case_06,3,0.7143,knee_overflexion|neck_overflexion_or_extension|trunk_overflexion|upper_arm_elevation|wrist_deviation,knee_overflexion|neck_overflexion_or_extension|prolonged_static_posture|repetitive_work|trunk_overflexion|upper_arm_elevation|wrist_deviation
reba_only_vs_full_module2,case_06,4,0.7143,knee_overflexion|neck_overflexion_or_extension|trunk_overflexion|upper_arm_elevation|wrist_deviation,knee_overflexion|neck_overflexion_or_extension|prolonged_static_posture|repetitive_work|trunk_overflexion|upper_arm_elevation|wrist_deviation
reba_only_vs_full_module2,case_06,5,0.5714,knee_overflexion|neck_overflexion_or_extension|trunk_overflexion|upper_arm_elevation|wrist_deviation,neck_overflexion_or_extension|prolonged_static_posture|repetitive_work|trunk_overflexion|upper_arm_elevation|wrist_deviation
reba_only_vs_full_module2,case_07,1,0.5714,knee_overflexion|neck_overflexion_or_extension|trunk_overflexion|upper_arm_elevation|wrist_deviation,neck_overflexion_or_extension|prolonged_static_posture|repetitive_work|trunk_overflexion|upper_arm_elevation|wrist_deviation
reba_only_vs_full_module2,case_07,2,0.6667,neck_overflexion_or_extension|trunk_overflexion|upper_arm_elevation|wrist_deviation,neck_overflexion_or_extension|prolonged_static_posture|repetitive_work|trunk_overflexion|upper_arm_elevation|wrist_deviation
reba_only_vs_full_module2,case_07,3,0.6667,neck_overflexion_or_extension|trunk_overflexion|upper_arm_elevation|wrist_deviation,neck_overflexion_or_extension|prolonged_static_posture|repetitive_work|trunk_overflexion|upper_arm_elevation|wrist_deviation
reba_only_vs_full_module2,case_07,4,0.5714,knee_overflexion|neck_overflexion_or_extension|trunk_overflexion|upper_arm_elevation|wrist_deviation,neck_overflexion_or_extension|prolonged_static_posture|repetitive_work|trunk_overflexion|upper_arm_elevation|wrist_deviation
reba_only_vs_full_module2,case_07,5,0.5714,knee_overflexion|neck_overflexion_or_extension|trunk_overflexion|upper_arm_elevation|wrist_deviation,neck_overflexion_or_extension|prolonged_static_posture|repetitive_work|trunk_overflexion|upper_arm_elevation|wrist_deviation
reba_only_vs_full_module2,case_08,1,0.0,,knee_overflexion|neck_overflexion_or_extension|prolonged_static_posture|repetitive_work|trunk_overflexion|upper_arm_elevation|wrist_deviation
reba_only_vs_full_module2,case_08,2,0.0,,knee_overflexion|neck_overflexion_or_extension|prolonged_static_posture|repetitive_work|trunk_overflexion|upper_arm_elevation|wrist_deviation
reba_only_vs_full_module2,case_08,3,0.7143,knee_overflexion|neck_overflexion_or_extension|trunk_overflexion|upper_arm_elevation|wrist_deviation,knee_overflexion|neck_overflexion_or_extension|prolonged_static_posture|repetitive_work|trunk_overflexion|upper_arm_elevation|wrist_deviation
reba_only_vs_full_module2,case_08,4,0.7143,knee_overflexion|neck_overflexion_or_extension|trunk_overflexion|upper_arm_elevation|wrist_deviation,knee_overflexion|neck_overflexion_or_extension|prolonged_static_posture|repetitive_work|trunk_overflexion|upper_arm_elevation|wrist_deviation
reba_only_vs_full_module2,case_08,5,0.7143,knee_overflexion|neck_overflexion_or_extension|trunk_overflexion|upper_arm_elevation|wrist_deviation,knee_overflexion|neck_overflexion_or_extension|prolonged_static_posture|repetitive_work|trunk_overflexion|upper_arm_elevation|wrist_deviation
