condition,case_id,left_run,right_run,key_factor_jaccard,recommendation_jaccard
full_module2,case_07,2,5,1.0,0.6667
full_module2,case_07,3,4,0.3333,0.3333
full_module2,case_07,3,5,0.5,0.5
full_module2,case_07,4,5,0.25,0.6667
full_module2,case_08,1,2,0.25,1.0
full_module2,case_08,1,3,0.5,0.6667
full_module2,case_08,1,4,0.6667,0.6667
full_module2,case_08,1,5,0.25,1.0
full_module2,case_08,2,3,0.6667,0.6667
full_module2,case_08,2,4,0.3333,0.6667
full_module2,case_08,2,5,1.0,1.0
full_module2,case_08,3,4,0.6667,1.0
full_module2,case_08,3,5,0.6667,0.6667
full_module2,case_08,4,5,0.3333,0.6667
reba_only,case_01,1,2,0.5,0.5
reba_only,case_01,1,3,0.5,0.3333
reba_only,case_01,1,4,1.0,0.5
reba_only,case_01,1,5,0.0,0.0
reba_only,case_01,2,3,1.0,0.6667
reba_only,case_01,2,4,0.5,0.3333
reba_only,case_01,2,5,0.4,0.0
reba_only,case_01,3,4,0.5,0.6667
reba_only,case_01,3,5,0.4,0.0
reba_only,case_01,4,5,0.0,0.0
reba_only,case_02,1,2,0.5,0.6667
reba_only,case_02,1,3,1.0,0.5
reba_only,case_02,1,4,0.5,0.6667
reba_only,case_02,1,5,0.5,0.6667
reba_only,case_02,2,3,0.5,0.3333
reba_only,case_02,2,4,1.0,1.0
reba_only,case_02,2,5,1.0,1.0
reba_only,case_02,3,4,0.5,0.3333
reba_only,case_02,3,5,0.5,0.3333
reba_only,case_02,4,5,1.0,1.0
reba_only,case_03,1,2,1.0,0.6667
reba_only,case_03,1,3,0.5,1.0
reba_only,case_03,1,4,0.5,0.6667
reba_only,case_03,1,5,1.0,1.0
reba_only,case_03,2,3,0.5,0.6667
reba_only,case_03,2,4,0.5,1.0
reba_only,case_03,2,5,1.0,0.6667
reba_only,case_03,3,4,1.0,0.6667
reba_only,case_03,3,5,0.5,1.0
reba_only,case_03,4,5,0.5,0.6667
reba_only,case_04,1,2,1.0,0.3333
reba_only,case_04,1,3,1.0,0.3333
reba_only,case_04,1,4,1.0,0.3333
reba_only,case_04,1,5,0.5,0.3333
reba_only,case_04,2,3,1.0,1.0
reba_only,case_04,2,4,1.0,1.0
reba_only,case_04,2,5,0.5,1.0
reba_only,case_04,3,4,1.0,1.0
reba_only,case_04,3,5,0.5,1.0
reba_only,case_04,4,5,0.5,1.0
reba_only,case_05,1,2,0.5,0.6667
reba_only,case_05,1,3,1.0,1.0
reba_only,case_05,1,4,0.5,0.6667
reba_only,case_05,1,5,0.5,0.6667
reba_only,case_05,2,3,0.5,0.6667
reba_only,case_05,2,4,1.0,1.0
reba_only,case_05,2,5,1.0,1.0
reba_only,case_05,3,4,0.5,0.6667
reba_only,case_05,3,5,0.5,0.6667
reba_only,case_05,4,5,1.0,1.0
reba_only,case_06,1,2,0.5,0.6667
reba_only,case_06,1,3,0.5,0.3333
reba_only,case_06,1,4,1.0,0.5
reba_only,case_06,1,5,1.0,1.0
reba_only,case_06,2,3,1.0,0.6667
reba_only,case_06,2,4,0.5,0.3333
reba_only,case_06,2,5,0.5,0.6667
reba_only,case_06,3,4,0.5,0.5
reba_only,case_06,3,5,0.5,0.3333
reba_only,case_06,4,5,1.0,0.5
reba_only,case_07,1,2,1.0,1.0
reba_only,case_07,1,3,0.5,0.3333
reba_only,case_07,1,4,0.5,0.3333
reba_only,case_07,1,5,0.5,0.3333
reba_only,case_07,2,3,0.5,0.3333
reba_only,case_07,2,4,0.5,0.3333
reba_only,case_07,2,5,0.5,0.3333
reba_only,case_07,3,4,1.0,0.3333
reba_only,case_07,3,5,1.0,1.0
reba_only,case_07,4,5,1.0,0.3333
reba_only,case_08,1,2,0.5,0.5
reba_only,case_08,1,3,1.0,0.5
reba_only,case_08,1,4,1.0,0.5
reba_only,case_08,1,5,1.0,0.3333
reba_only,case_08,2,3,0.5,1.0
reba_only,case_08,2,4,0.5,1.0
reba_only,case_08,2,5,0.5,0.5
reba_only,case_08,3,4,1.0,1.0
reba_only,case_08,3,5,1.0,0.5
reba_only,case_08,4,5,1.0,0.5
rgb_only,case_01,1,2,0.5,0.5
rgb_only,case_01,1,3,0.75,0.3333
rgb_only,case_01,1,4,1.0,0.5
rgb_only,case_01,1,5,0.75,1.0
rgb_only,case_01,2,3,0.75,0.6667
rgb_only,case_01,2,4,0.5,1.0
rgb_only,case_01,2,5,0.75,0.5
rgb_only,case_01,3,4,0.75,0.6667
rgb_only,case_01,3,5,1.0,0.3333
rgb_only,case_01,4,5,0.75,0.5
rgb_only,case_02,1,2,0.75,0.6667
rgb_only,case_02,1,3,0.75,1.0
rgb_only,case_02,1,4,0.75,0.3333
rgb_only,case_02,1,5,0.75,0.3333
rgb_only,case_02,2,3,1.0,0.6667
rgb_only,case_02,2,4,1.0,0.6667
rgb_only,case_02,2,5,1.0,0.6667
rgb_only,case_02,3,4,1.0,0.3333
rgb_only,case_02,3,5,1.0,0.3333
rgb_only,case_02,4,5,1.0,1.0
rgb_only,case_03,1,2,0.5,0.3333
rgb_only,case_03,1,3,0.5,0.3333
rgb_only,case_03,1,4,0.5,0.3333
rgb_only,case_03,1,5,0.75,0.3333
rgb_only,case_03,2,3,1.0,1.0
rgb_only,case_03,2,4,1.0,1.0
rgb_only,case_03,2,5,0.6667,0.3333
rgb_only,case_03,3,4,1.0,1.0
rgb_only,case_03,3,5,0.6667,0.3333
rgb_only,case_03,4,5,0.6667,0.3333
rgb_only,case_04,1,2,1.0,1.0
rgb_only,case_04,1,3,1.0,0.5
rgb_only,case_04,1,4,1.0,1.0
rgb_only,case_04,1,5,0.6667,1.0
rgb_only,case_04,2,3,1.0,0.5
rgb_only,case_04,2,4,1.0,1.0
rgb_only,case_04,2,5,0.6667,1.0
rgb_only,case_04,3,4,1.0,0.5
rgb_only,case_04,3,5,0.6667,0.5
rgb_only,case_04,4,5,0.6667,1.0
rgb_only,case_05,1,2,0.75,1.0
rgb_only,case_05,1,3,0.75,0.75
rgb_only,case_05,1,4,0.75,0.25
rgb_only,case_05,1,5,0.75,0.6667
rgb_only,case_05,2,3,1.0,0.75
rgb_only,case_05,2,4,1.0,0.25
rgb_only,case_05,2,5,1.0,0.6667
rgb_only,case_05,3,4,1.0,0.2
rgb_only,case_05,3,5,1.0,0.5
rgb_only,case_05,4,5,1.0,0.3333
rgb_only,case_06,1,2,0.75,0.6667
rgb_only,case_06,1,3,1.0,1.0
rgb_only,case_06,1,4,0.5,0.5
rgb_only,case_06,1,5,1.0,0.6667
rgb_only,case_06,2,3,0.75,0.6667
rgb_only,case_06,2,4,0.6667,0.3333
rgb_only,case_06,2,5,0.75,1.0
rgb_only,case_06,3,4,0.5,0.5
rgb_only,case_06,3,5,1.0,0.6667
rgb_only,case_06,4,5,0.5,0.3333
rgb_only,case_07,1,2,0.5,0.5
rgb_only,case_07,1,3,1.0,0.5
rgb_only,case_07,1,4,1.0,0.5
rgb_only,case_07,1,5,1.0,0.5
rgb_only,case_07,2,3,0.5,1.0
rgb_only,case_07,2,4,0.5,1.0
rgb_only,case_07,2,5,0.5,1.0
rgb_only,case_07,3,4,1.0,1.0
rgb_only,case_07,3,5,1.0,1.0
rgb_only,case_07,4,5,1.0,1.0
rgb_only,case_08,1,2,0.5,0.2
rgb_only,case_08,1,3,0.75,0.6667
rgb_only,case_08,1,4,0.5,0.5
rgb_only,case_08,1,5,0.5,0.25
rgb_only,case_08,2,3,0.6667,0.25
rgb_only,case_08,2,4,1.0,0.5
rgb_only,case_08,2,5,1.0,0.6667
rgb_only,case_08,3,4,0.6667,0.6667
rgb_only,case_08,3,5,0.6667,0.3333
rgb_only,case_08,4,5,1.0,0.25
